,place_id,international_phone_number,weekday_opening_hours,reviews,website
0,ChIJ6RIysFRl5kcRgTQU1vLwwWg,+33 1 42 15 15 31,"['lundi: 12:00 – 15:00, 19:00 – 23:30', 'mardi: 12:00 – 15:00, 19:00 – 23:30', 'mercredi: 12:00 – 15:00, 19:00 – 23:30', 'jeudi: 12:00 – 15:00, 19:00 – 23:30', 'vendredi: 12:00 – 15:00, 19:00 – 23:30', 'samedi: 12:00 – 15:00, 19:00 – 23:30', 'dimanche: 12:00 – 16:00, 19:00 – 23:30']","[(5, ""Belle carte qui change régulièrement. Les prix ne sont pas excessivement élevés et l'accueil est excellent. Nous avons pu choisir nos places car il n'y avait pas trop de monde et avons eu de très bons conseils de la part du serveur.""), (2, ""Service débordé et très lent alors que le lieu était loin d'être rempli. Pas aimable, pas attentif ou pire on fait mine de ne pas voir. Cocktail sans reliefs pour ne pas dire sans goût...\nBref endroit prétentieux mais qui n'a pas les moyens de sa prétention... Deux étoiles pour le bel extérieur depuis la rue...""), (2, 'La nourriture est correcte, sans plus. La décoration est top, cadre agréable. Bémol: service chaotique (oubli de plats, retard dans les commandes, obligés de demander plusieurs fois la même chose) et courant d’air insupportable entre l’intérieur et la terrasse.'), (5, 'Super lieu et nourriture très bonne. On a réservé pour un anniversaire. On a très bien mangé et le serveur était au top du top. La plupart des plats sont à partage ce qui est très convivial. Je conseille vivement.'), (4, ""Le lieu est très agréable avec une belle terrasse. L'accueil est souriant ,  le serveur est attentif. Le choix de cocktail sans alcool était très intéressant....mais sa manques du goût .."")]",http://www.lagare-paris.com/
1,ChIJkbVMqVVl5kcRmF-iadbv-v4,+33 1 40 72 70 00,"['lundi: 12:00 – 14:30, 19:30 – 23:00', 'mardi: 12:00 – 14:30, 19:30 – 23:00', 'mercredi: 12:00 – 14:30, 19:30 – 23:00', 'jeudi: 12:00 – 14:30, 19:30 – 23:00', 'vendredi: 12:00 – 14:30, 19:30 – 23:30', 'samedi: 12:00 – 14:30, 19:30 – 23:30', 'dimanche: 12:00 – 14:30, 19:30 – 23:00']","[(5, ""Comme promis je crée mon compte pour vous laisser 5 étoiles.\nUn service au top dans une ambiance cosy. \nUn très bon lieu à ajouter dans mon carnet d'adresse.\nA très bientôt. \nLuc""), (4, ""Magnifique décor de Stark. Brunch aux saveurs asiatiques où tout est à volonté pour 50 euros par personne, sauf l'alcool. Personnel avenant.\nRéservation nécessaire. \nAu mois d'août le stationnement étant gratuit sur Paris, le service voiturier n'est pas nécessaire.""), (2, ""Bien trop cher pour ce que c'est.\nLa carte propose beaucoup trop de choix on se demande si tous les produits sont frais... \nJe n'ai pas été surprise au niveau culinaire""), (5, 'Vraiment top. Qualité des plats et du service excellents. Prix très raisonnable (peut être un peu cher pour les boissons )'), (5, 'Excellente cuisine asiatique. Des plats recherchés et de très bons produits. Ambiance chic et décor original. Personnel dynamique.')]",http://restaurantbon.fr/
2,ChIJ7YtCz1Rl5kcRkBHPFAgkJyk,+33 1 45 03 14 84,"['lundi: 12:00 – 15:00, 19:00 – 23:30', 'mardi: 12:00 – 15:00, 19:00 – 23:30', 'mercredi: 12:00 – 15:00, 19:00 – 23:30', 'jeudi: 12:00 – 15:00, 19:00 – 23:30', 'vendredi: 12:00 – 15:00, 19:00 – 23:30', 'samedi: 12:00 – 23:00', 'dimanche: 12:00 – 23:00']","[(5, 'Mon adresse excellente dans le quartier pour une bonne cuisine traditionnelle. Une clientèle d habituée très conviviale et depuis de nombreuses années. Un service de qualité. Avec notamment un menu apéro, entrée, plats, dessert, café, vin à 44 euros pour ce niveau d offre la concurrence n a qu à bien se tenir. Pour conclure,  le plus conviviale  des trois grands bistrots du groupe.'), (4, 'Lieu sympa, conviviale. Bon accueil. Il faut goûter leur mille feuilles, trop bon'), (4, ""Un peu cher, mais j'aime venir dans ce lieu agréable où la cuisine est excellente. La formule à 44€ ne m'a jamais déçu""), (4, 'Très bon moment dans cette brasserie avec un accueil très chaleureux par une jeune femme souriante et très sympathique pour le service. La cuisine de produits frais et de qualité mais manque un petit peu de sophistication mais ça reste néanmoins une très bonne maison'), (1, ""Arrivés à 13h30, commande presque 1h plus tard, pas de pain pour patienter, kirr du menu encore 30 minutes plus tard, plats trop cuits aux ingrédients sortis du congélateur en les servant avec le fond d'eau de la décongélation. Le personnel, visiblement habitué aux critiques des clients, n'est pas suffisant ni en salle, ni certainement en cuisine. A croire que les propriétaires n'ont en tête que l'abattage d'un max de clients avec un minimum de frais. A fuire, désolé !"")]",
3,ChIJx4rm0qp65kcR7eDhk7gz0iA,+33 1 45 20 18 32,"['lundi: Fermé', 'mardi: 12:00 – 14:00, 19:30 – 22:30', 'mercredi: 12:00 – 14:00, 19:30 – 22:30', 'jeudi: 12:00 – 14:00, 19:30 – 22:30', 'vendredi: 12:00 – 14:00, 19:30 – 22:30', 'samedi: 12:00 – 14:00, 19:30 – 22:30', 'dimanche: 12:30 – 14:30, 19:30 – 21:30']","[(4, 'Très bon restaurant japonais méconnu qui propose un menu gastronomique à 62 euros qui change tous les mois avec des créations originales. Sinon il y a aussi des sélections de sushi, sashimi, maki bien exécutés. Coup de cœur aussi pour les desserts chose rare dans un restaurant japonais. Belle sélection de sakes. Restaurant qui se situe dans une gamme haute de part la qualité des produits.'), (5, 'Un menu a 45€ avec Des vrais sushi japonais...un dessert incroyable, bref une adresse à ne pas manquer dans ce quartier de la Muette..réservation conseillée, belle sélection de whisky japonais..et petite terrasse agréable et dégagée sur rue calme'), (5, ""Au dîner, deux formules sont proposées: un menu gastronomique et un menu sushi.\nLe menu gastronomique est vraiment excellent. Les saveurs sont subtiles et raffinées. Le boeuf notamment est vraiment délicieux.\nLe service est rapide.\nCompte-tenu de la qualité digne d'un étoilé, le rapport qualité / prix est bon. (surtout dans le quartier ou des établissement médiocres sont aussi chers).""), (5, ""Restaurant d'exception, alors certes c'est un peu cher mais cela se reflète vraiment dans l'assiette, poisson excellent. On a vraiment l'impression de découvrir de nouveaux arômes propres au Japon, bien loin des simples restau de sushis.""), (5, 'Excellentissime.  Je recommande le menu du dimanche. Serveuses très gentilles. Plats délicieux.  On se sent léger et en super forme après ce déjeuner.')]",http://www.kuraparis.com/
4,ChIJNzSHDwBw5kcRidqYbXaGCAA,+33 1 42 88 10 15,"['lundi: Fermé', 'mardi: 12:00 – 14:30, 19:30 – 22:30', 'mercredi: 12:00 – 14:30, 19:30 – 22:30', 'jeudi: 12:00 – 14:30, 19:30 – 22:30', 'vendredi: 12:00 – 14:30, 19:30 – 22:30', 'samedi: 12:00 – 14:30, 19:30 – 22:30', 'dimanche: Fermé']","[(5, 'Restaurant atypique. A deux pas de la Tour Eiffel, vous êtes en Italie. La cuisine est délicieuse. Les propriétaires et le personnel vous considèrent comme leurs hôtes et vous accueillent chaleureusement.'), (5, ""En voilà une adresse extraordinaire. Nichée dans une toute petite rue du 16ème arrondissement de Paris, vous voilà plongé au cœur de l'Italie. Service souriant et carte très gourmande, vins délicieux et pas trop chers, sourires et délectation ! A faire si vous aimez la saine cuisine italienne. Bravo!""), (5, ""Vraiment très bon et malgré certains prix un peu élevés c'est vraiment une super adresse que je recommande!""), (5, ""Tres bonne cuisine italienne , accueil très chaleureux,  bons conseils pour choisir parmi les vins italiens que l'on ne connaît pas forcément.  \nUn peu cher.""), (5, 'Vraiment super ! Des patrons adorables et aux petits soins, une ambiance conviviale, des plats délicieux et frais. Quoi de mieux ?')]",http://www.lesettebelloparis.fr/
5,ChIJJbOwx1Vl5kcR4jWTLouizCo,+33 1 45 03 00 83,"['lundi: 08:00 – 23:00', 'mardi: 08:00 – 23:00', 'mercredi: 08:00 – 23:00', 'jeudi: 08:00 – 23:00', 'vendredi: 08:00 – 23:00', 'samedi: 12:00 – 15:00, 19:00 – 23:00', 'dimanche: 12:00 – 15:00, 19:00 – 23:00']","[(5, 'Les pizzas étaient divines, un super décor! Un service très agréable, une serveuse adorable et attentionnée, nous avons passé une merveilleuse soirée en famille,\nMille Merci à Charlotte \nNous reviendrons et nous recommandons cette adresse 😉✨'), (1, ""Le gérant nous assure au téléphone que la terrasse est au soleil le midi. A notre arrivée, surprise! , TOUTE la terrasse est à l'ombre..   C'est vous que j ai eu au téléphone monsieur ?   - Oui qu'il réponds  le sourire moqueur provocateur, il en vient même à se vanter de mieux connaitre le lieu que nous.... On a bien rigolé mais on a pas mangé là du coup on laisse le lieu aux pigeons qui foisonnent sur le trottoir""), (2, 'Très dommage que la cuisine soit si mauvaise, le cadre est sympa il y a même une petite terrasse ! Très bien situé franchement changez de CHEF ! \nCuisine italienne sans saveur ! Trop lambda !'), (1, 'C Était une excellente adresse AVANT !!!  Quelle déception, depuis le changement de propriétaire ... les pizzas ont rétrécis (pas les prix) , moins bonnes ( envie notamment de boire 3 litres d eau ensuite), et JAMAIS mais alors au grand JAMAIS un geste commercial ( un café !)  même si Ciro devient votre cantine et que vous y laissez de belles ardoises. Dommage car avec l emplacement et la terrasse il\nY avait du potentiel!! Alors oui  c était résolument mieux avant !'), (5, ""Accueil du personnel  courtois et Joyeux, vous invitant à choisir votre table. \n(bien évidemment en fonction des places disponibles, en privilégiant notre choix pour  le confort  des   petits enfants nous  accompagnant.)\nLe personnel à l' écoute, soucieux de  satisfaire le client. \n. La pasta bien à l'italienne. \nBelle adresse."")]",http://leciro.fr/fr
6,ChIJCy3d1Kp65kcRU8rd-TmwthU,+33 1 42 30 77 38,"['lundi: 12:00 – 14:30, 19:00 – 22:30', 'mardi: 12:00 – 14:30, 19:00 – 22:30', 'mercredi: 12:00 – 14:30, 19:00 – 22:30', 'jeudi: 12:00 – 14:30, 19:00 – 22:30', 'vendredi: 12:00 – 14:30, 19:00 – 22:30', 'samedi: 12:00 – 14:30, 19:00 – 22:30', 'dimanche: Fermé']","[(5, ""Je suis un trentenaire (d’1,95m pour 85kg) qui préfère infiniment quitter la table rassasié par un bon repas fait d’ingrédients qualitatifs en proportion raisonnable plutôt que de payer l’addition et de repartir sur ma faim !\n\nSi l’accueil et l’attention porté aux clients sont au RDV ? c’est encore mieux ! Et là, ce fut le cas ;)\n\nNiveau hygiène apparente de l’établissement et du personnel ? rien de spécial à signaler, parole d’un type qui a les yeux partout même aux toilettes ;)\n\nL'addition pour deux pizzas, boissons et desserts?  65€""), (5, ""un vrai régale je recommande vraiment, service excellent quand au pizza c'est un régale""), (5, 'Petit restaurant. \nService rapide et efficace (venue pendant la pause dej)\nPizza et bruschetta excellentes.\nJe recommande.'), (1, ""Des vrai arnaqueurs pour le service livraison, a ne jamais faire, 50 euros pour une petite pizza et un petite calzone alors que j'avais demandé des tailles familiale. En plus la calzone avait que du pain à l'intérieur, À Éviter !!!! Pour livraison, et la solution qu'il propose c'est de les contacter par mail, en gros se débarrasser du problem""), (4, 'La pizza est authentique et délicieuse.')]",http://pizzaoro.fr/
7,ChIJaxZCy6p65kcRYAwbmm__ds8,+33 1 42 24 83 54,"['lundi: 12:00 – 14:30, 18:30 – 22:30', 'mardi: 12:00 – 14:30, 18:30 – 22:30', 'mercredi: 12:00 – 14:30, 18:30 – 22:30', 'jeudi: 12:00 – 14:30, 18:30 – 22:30', 'vendredi: 12:00 – 14:30, 18:30 – 22:30', 'samedi: 12:00 – 14:30, 18:30 – 22:30', 'dimanche: 18:30 – 22:30']","[(5, ""Nous sommes passés par là par hasard et on s'est laissé tenter... Quelle agréable surprise ! Repas très copieux et vraiment très bon !\nA refaire.""), (5, ""Cet super bon et frais. Pas aussi cher que je le pensais. Mais un bon rapport quantité prix. Ce qui n'est pas négligeable pour le quartier""), (5, 'Je commande en ligne et je ne suis jamais déçue. Portion généreuse, arrive à chaque fois dans les temps et SUPER bon.\nMeilleur Pad Thaï de ma vie. Je recommande sans hésiter.'), (4, 'Un peu long et les gens pas super agréables (sûrement a cause de tout le monde dans le restaurant) mais cela est vite oublié une fois qu’on a gouté au plat! Les plats sont copieux et les prix sont très abordables'), (2, '3x que je vien sa a toujours  était bien jusqu’à aujourd’hui l’es cuisinière sont très désagréable le plat étais froid j’ai demander un saparote sans ananas il y avais que sa dedans j’ai prit des nems on m’a donner 3 nems du surgeler pour 5€ quand je vais voir la dame pour lui dire que je ne voulais pas d’ananas elle me dit enlève les alors le restau et bien mais quand il n’y a personne dedans et que m’en patron et la sinon 0')]",http://bigbuddha.fr/
8,ChIJi961GABw5kcRnio8E4iFpiw,+33 1 45 25 95 55,"['lundi: 11:00 – 22:00', 'mardi: 11:00 – 22:00', 'mercredi: 11:00 – 22:00', 'jeudi: 11:00 – 22:00', 'vendredi: 11:00 – 22:00', 'samedi: 11:00 – 22:00', 'dimanche: 10:00 – 15:00']","[(5, 'Bonne expérience et bon repas !\nCadre sympathique et bon accueil. \nBon petit plat pour à peine 16€ 🤷\u200d♂️'), (1, 'Pas de positif ! Mise à part la serveuses qui essaye tant bien que mal de colmater les erreurs du cuisinier et de rattraper la relation clientèle désastreuse du patron.... \nPrix exorbitants pour de la cuisine dite ""sincère"" et ""familiale"" ... il n\'y à que l\'addition qui est sincèrement     beaucoup trop élevé pour le contenu des assiettes !  \n\nFuyez !   Il y as plein de d\'autres restaurateurs sympa et agréable dans cette rue ... ce serait dommage que vous tombiez sur celui-ci !'), (3, ""Un accueil basique \nUn service efficace jusqu'à ce que la serveuse se blesse avec un bris de verre....sur lesquels les clients marchaient....\nDes plats corrects\nUne déception : salle climatisée........mais on ne l'a pas remarqué....dommage""), (5, 'Délicieux déjeuner.  Personnel très aimable.  \nNous reviendrons avec plaisir'), (5, 'Très bon service et la nourriture est excellente. Jolie cadre')]",http://www.lefamily16.fr/
9,ChIJi6lZK1Vl5kcRmOBWkypehY0,+33 1 45 25 57 89,"['lundi: 12:00 – 22:00', 'mardi: 12:00 – 22:00', 'mercredi: 12:00 – 22:00', 'jeudi: 12:00 – 22:00', 'vendredi: 12:00 – 22:00', 'samedi: 12:00 – 22:00', 'dimanche: Fermé']","[(5, 'Simple, pas cher et efficace ! Les tenant de ce restaurant sont sympathiques et accueillants, le lieu est propre.\nIl y a une carte assez simple mais qui propose des plats de qualité qui valent largement leurs prix raisonnables.\nJe vous le conseille!'), (3, 'Plats assez bons, bon rapport qualité prix, mais serveuse antipathique, toujours mal lunée et lente.'), (5, ""5 ans que je mange chez eux et toujours aussi bon. Rapport-qualité prix plus que correct, le personnel agréable. C'est un vrai bon libanais que je recommande. Si vous comptez y aller entre 12h-14h il y a pas mal de monde.""), (5, 'Nourriture de bonne qualité ,pas de gras et surtout très équilibré .je suis un habitué a recommander'), (5, ""Je travaille à côté et j'aime y aller pendant ma pause le samedi midi.\nLes chawarmas sont très bons et copieux.\nLes différentes pièces salées ou sucrées, le houmous, tout ce que j'ai testé m'a plu."")]",http://www.boislevent.com/
